|||Sütunlar|
Satırlar|||Tüketici Madde Fiyatları (2003=100)|
|||İstanbul-TR10|
||||
||0452101. (Doğal Gaz)|0.62|
||0722001. (Benzin)|2.6701|
||0830009. (İnternet Ücreti)|78.1663|
|02-Şubat|0441001. (Su Faturası)|1.79|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.62|
||0722001. (Benzin)|2.6845|
||0830009. (İnternet Ücreti)|78.1663|
|03-Mart|0441001. (Su Faturası)|1.79|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.62|
||0722001. (Benzin)|2.8341|
||0830009. (İnternet Ücreti)|78.1663|
|04-Nisan|0441001. (Su Faturası)|1.8|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.62|
||0722001. (Benzin)|2.905|
||0830009. (İnternet Ücreti)|69.529|
|05-Mayıs|0441001. (Su Faturası)|1.825|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.62|
||0722001. (Benzin)|2.9904|
||0830009. (İnternet Ücreti)|69.529|
|06-Haziran|0441001. (Su Faturası)|1.845|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.62|
||0722001. (Benzin)|2.9604|
||0830009. (İnternet Ücreti)|69.529|
|07-Temmuz|0441001. (Su Faturası)|1.85|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.62|
||0722001. (Benzin)|2.9031|
||0830009. (İnternet Ücreti)|69.529|
|08-Ağustos|0441001. (Su Faturası)|1.85|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.62|
||0722001. (Benzin)|2.8633|
||0830009. (İnternet Ücreti)|60.8918|
|09-Eylül|0441001. (Su Faturası)|1.85|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.62|
||0722001. (Benzin)|2.8628|
||0830009. (İnternet Ücreti)|60.8918|
|10-Ekim|0441001. (Su Faturası)|1.85|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.62|
||0722001. (Benzin)|2.8354|
||0830009. (İnternet Ücreti)|60.8918|
|11-Kasım|0441001. (Su Faturası)|2.6454|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.62|
||0722001. (Benzin)|3.0802|
||0830009. (İnternet Ücreti)|60.8918|
|12-Aralık|0441001. (Su Faturası)|2.6454|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.62|
||0722001. (Benzin)|3.0504|
||0830009. (İnternet Ücreti)|60.8918|
2008|01-Ocak|0441001. (Su Faturası)|2.6454|
||0451001. (Elektrik Ücreti)|0.19|
||0452101. (Doğal Gaz)|0.67|
||0722001. (Benzin)|3.085|
||0830009. (İnternet Ücreti)|60.8586|
|02-Şubat|0441001. (Su Faturası)|2.6454|
||0451001. (Elektrik Ücreti)|0.19|
||0452101. (Doğal Gaz)|0.67|
||0722001. (Benzin)|3.1099|
||0830009. (İnternet Ücreti)|60.8586|
|03-Mart|0441001. (Su Faturası)|2.6454|
||0451001. (Elektrik Ücreti)|0.19|
||0452101. (Doğal Gaz)|0.6717|
||0722001. (Benzin)|3.2033|
||0830009. (İnternet Ücreti)|60.8586|
|04-Nisan|0441001. (Su Faturası)|2.6719|
||0451001. (Elektrik Ücreti)|0.19|
||0452101. (Doğal Gaz)|0.6761|
||0722001. (Benzin)|3.3468|
||0830009. (İnternet Ücreti)|60.8586|
|05-Mayıs|0441001. (Su Faturası)|2.6984|
||0451001. (Elektrik Ücreti)|0.19|
||0452101. (Doğal Gaz)|0.6789|
||0722001. (Benzin)|3.4102|
||0830009. (İnternet Ücreti)|60.8586|
|06-Haziran|0441001. (Su Faturası)|2.6984|
||0451001. (Elektrik Ücreti)|0.19|
||0452101. (Doğal Gaz)|0.7335|
||0722001. (Benzin)|3.505|
||0830009. (İnternet Ücreti)|60.8586|
|07-Temmuz|0441001. (Su Faturası)|2.6984|
||0451001. (Elektrik Ücreti)|0.2287|
||0452101. (Doğal Gaz)|0.7335|
||0722001. (Benzin)|3.4924|
||0830009. (İnternet Ücreti)|60.8586|
|08-Ağustos|0441001. (Su Faturası)|2.759|
||0451001. (Elektrik Ücreti)|0.2261|
||0452101. (Doğal Gaz)|0.858|
||0722001. (Benzin)|3.3078|
||0830009. (İnternet Ücreti)|60.8586|
|09-Eylül|0441001. (Su Faturası)|2.8196|
||0451001. (Elektrik Ücreti)|0.2261|
||0452101. (Doğal Gaz)|0.8592|
||0722001. (Benzin)|3.26|
||0830009. (İnternet Ücreti)|60.8586|
|10-Ekim|0441001. (Su Faturası)|2.8196|
||0451001. (Elektrik Ücreti)|0.2469|
||0452101. (Doğal Gaz)|0.8928|
||0722001. (Benzin)|3.1349|
||0830009. (İnternet Ücreti)|60.8586|
|11-Kasım|0441001. (Su Faturası)|2.8196|
||0451001. (Elektrik Ücreti)|0.2469|
||0452101. (Doğal Gaz)|1.0819|
||0722001. (Benzin)|3.0012|
||0830009. (İnternet Ücreti)|60.8586|
|12-Aralık|0441001. (Su Faturası)|2.8196|
||0451001. (Elektrik Ücreti)|0.2469|
||0452101. (Doğal Gaz)|1.0824|
||0722001. (Benzin)|2.7653|
||0830009. (İnternet Ücreti)|60.8586|
2009|01-Ocak|0441001. (Su Faturası)|2.8196|
||0451001. (Elektrik Ücreti)|0.2493|
||0452101. (Doğal Gaz)|1.0824|
||0722001. (Benzin)|2.8097|
||0830009. (İnternet Ücreti)|32.3397|
|02-Şubat|0441001. (Su Faturası)|2.8196|
||0451001. (Elektrik Ücreti)|0.2493|
||0452101. (Doğal Gaz)|0.9159|
||0722001. (Benzin)|2.8747|
||0830009. (İnternet Ücreti)|32.3397|
|03-Mart|0441001. (Su Faturası)|2.8196|
||0451001. (Elektrik Ücreti)|0.2493|
||0452101. (Doğal Gaz)|0.9238|
||0722001. (Benzin)|2.9199|
||0830009. (İnternet Ücreti)|29.8997|
|04-Nisan|0441001. (Su Faturası)|2.8196|
||0451001. (Elektrik Ücreti)|0.2453|
||0452101. (Doğal Gaz)|0.925|
||0722001. (Benzin)|2.9872|
||0830009. (İnternet Ücreti)|29.8997|
|05-Mayıs|0441001. (Su Faturası)|2.8196|
||0451001. (Elektrik Ücreti)|0.2453|
||0452101. (Doğal Gaz)|0.7263|
||0722001. (Benzin)|3.081|
||0830009. (İnternet Ücreti)|29.8997|
|06-Haziran|0441001. (Su Faturası)|2.8196|
||0451001. (Elektrik Ücreti)|0.2453|
||0452101. (Doğal Gaz)|0.7269|
||0722001. (Benzin)|3.2186|
||0830009. (İnternet Ücreti)|29.8997|
|07-Temmuz|0441001. (Su Faturası)|2.8196|
||0451001. (Elektrik Ücreti)|0.2453|
||0452101. (Doğal Gaz)|0.7269|
||0722001. (Benzin)|3.0873|
||0830009. (İnternet Ücreti)|29.8997|
|08-Ağustos|0441001. (Su Faturası)|2.9387|
||0451001. (Elektrik Ücreti)|0.2453|
||0452101. (Doğal Gaz)|0.7278|
||0722001. (Benzin)|3.2963|
||0830009. (İnternet Ücreti)|29.8997|
|09-Eylül|0441001. (Su Faturası)|3.0577|
||0451001. (Elektrik Ücreti)|0.2453|
||0452101. (Doğal Gaz)|0.7271|
||0722001. (Benzin)|3.2668|
||0830009. (İnternet Ücreti)|29.8997|
|10-Ekim|0441001. (Su Faturası)|3.0577|
||0451001. (Elektrik Ücreti)|0.2693|
||0452101. (Doğal Gaz)|0.7276|
||0722001. (Benzin)|3.2656|
||0830009. (İnternet Ücreti)|29.8997|
|11-Kasım|0441001. (Su Faturası)|3.0577|
||0451001. (Elektrik Ücreti)|0.2693|
||0452101. (Doğal Gaz)|0.7282|
||0722001. (Benzin)|3.3523|
||0830009. (İnternet Ücreti)|29.8997|
|12-Aralık|0441001. (Su Faturası)|3.0577|
||0451001. (Elektrik Ücreti)|0.2693|
||0452101. (Doğal Gaz)|0.7285|
||0722001. (Benzin)|3.3557|
||0830009. (İnternet Ücreti)|29.8997|
2010|01-Ocak|0441001. (Su Faturası)|3.0577|
||0451001. (Elektrik Ücreti)|0.2724|
||0452101. (Doğal Gaz)|0.7299|
||0722001. (Benzin)|3.6442|
||0830009. (İnternet Ücreti)|58.3886|
|02-Şubat|0441001. (Su Faturası)|3.0577|
||0451001. (Elektrik Ücreti)|0.2724|
||0452101. (Doğal Gaz)|0.7305|
||0722001. (Benzin)|3.6429|
||0830009. (İnternet Ücreti)|58.3886|
|03-Mart|0441001. (Su Faturası)|3.115|
||0451001. (Elektrik Ücreti)|0.2724|
